yearid,Level of Data,Subject,DenominatorType,District,Discode,School,Schcode,Grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2022,sch,sci,Regular,Andover,19,Andover Elementary School,22130,5,20 - 25,36,18,27,18,45,55,552
2022,sch,sci,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,21,44,26,< 10 %,35,65,854
2022,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,0,90 - 95,24,37,21,18,39,61,
2022,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,3,20 - 25,40,30,15,15,30,70,418
2022,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,5,20 - 25,15,35,10,40,50,50,503
2022,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,6,15 - 20,13,50,25,13,38,63,509
2022,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,7,15 - 20,20,33,20,27,47,53,538
2022,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,8,010 - 015,45,27,27,< 10 %,27,73,550
2022,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,0,90 - 95,17,30,32,21,52,48,
2022,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,3,20 - 25,25,40,15,20,35,65,577
2022,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,5,20 - 25,20,20,20,40,60,40,640
2022,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,6,15 - 20,< 10 %,25,38,31,69,31,669
2022,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,7,15 - 20,< 10 %,33,47,13,60,40,655
2022,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,8,010 - 015,18,27,55,< 10 %,55,45,661
2022,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,0,30 - 35,32,19,29,19,48,52,
2022,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,5,20 - 25,25,15,30,30,60,40,556
2022,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,8,44849,45,27,27,< 10 %,27,73,848
2022,sch,mat,Regular,Auburn,29,Auburn Village School,20530,0,415 - 420,14,26,31,29,60,40,
2022,sch,mat,Regular,Auburn,29,Auburn Village School,20530,3,80 - 85,< 10 %,24,38,31,69,31,444
2022,sch,mat,Regular,Auburn,29,Auburn Village School,20530,4,70 - 75,16,23,30,31,61,39,467
2022,sch,mat,Regular,Auburn,29,Auburn Village School,20530,5,70 - 75,18,27,26,30,55,45,496
2022,sch,mat,Regular,Auburn,29,Auburn Village School,20530,6,65 - 70,12,22,37,29,66,34,533
2022,sch,mat,Regular,Auburn,29,Auburn Village School,20530,7,70 - 75,23,19,32,26,58,42,546
2022,sch,mat,Regular,Auburn,29,Auburn Village School,20530,8,50 - 55,< 10 %,43,25,23,47,53,588
2022,sch,rea,Regular,Auburn,29,Auburn Village School,20530,0,415 - 420,23,18,38,21,59,41,
2022,sch,rea,Regular,Auburn,29,Auburn Village School,20530,3,75 - 80,21,26,31,23,54,46,587
2022,sch,rea,Regular,Auburn,29,Auburn Village School,20530,4,70 - 75,39,10,25,25,51,49,596
2022,sch,rea,Regular,Auburn,29,Auburn Village School,20530,5,70 - 75,23,11,47,19,66,34,628
2022,sch,rea,Regular,Auburn,29,Auburn Village School,20530,6,65 - 70,10,24,40,26,66,34,656
2022,sch,rea,Regular,Auburn,29,Auburn Village School,20530,7,70 - 75,25,17,44,14,58,42,647
2022,sch,rea,Regular,Auburn,29,Auburn Village School,20530,8,50 - 55,19,21,45,15,60,40,668
2022,sch,sci,Regular,Auburn,29,Auburn Village School,20530,0,125 - 130,33,29,25,13,38,62,
2022,sch,sci,Regular,Auburn,29,Auburn Village School,20530,5,70 - 75,26,28,28,18,46,54,552
2022,sch,sci,Regular,Auburn,29,Auburn Village School,20530,8,50 - 55,43,30,21,< 10 %,26,74,847
2022,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,0,300 - 305,47,32,18,< 10 %,21,79,
2022,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,3,50 - 55,53,22,22,< 10 %,25,75,408
2022,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,4,55 - 60,29,35,33,< 10 %,36,64,442
2022,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,5,50 - 55,42,46,12,< 10 %,12,88,462
2022,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,6,45 - 50,63,30,< 10 %,< 10 %,< 10 %,> 90 %,462
2022,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,7,45 - 50,55,31,12,< 10 %,14,86,501
