yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2016,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,4,115 - 120,<10,12,29,51,80,20,2528
2016,sch,sci,Regular,Amherst,17,Clark-Wilkins School,21750,0,115 - 120,<10,26,70,<10,71,29,NULL
2016,sch,sci,Regular,Amherst,17,Clark-Wilkins School,21750,4,115 - 120,<10,26,70,<10,71,29,NULL
2016,sch,mat,Regular,Andover,19,Andover Elementary School,22130,0,145 - 150,22,46,26,<10,33,67,NULL
2016,sch,mat,Regular,Andover,19,Andover Elementary School,22130,3,30 - 35,<10,30,47,20,67,33,2464
2016,sch,mat,Regular,Andover,19,Andover Elementary School,22130,4,25 - 30,11,61,21,<10,29,71,2470
2016,sch,mat,Regular,Andover,19,Andover Elementary School,22130,5,20 - 25,39,35,22,<10,26,74,2468
2016,sch,mat,Regular,Andover,19,Andover Elementary School,22130,6,30 - 35,27,50,20,<10,23,77,2513
2016,sch,mat,Regular,Andover,19,Andover Elementary School,22130,7,15 - 20,35,35,29,<10,29,71,2517
2016,sch,mat,Regular,Andover,19,Andover Elementary School,22130,8,15 - 20,26,63,11,<10,11,89,2527
2016,sch,rea,Regular,Andover,19,Andover Elementary School,22130,0,145 - 150,11,29,37,23,61,39,NULL
2016,sch,rea,Regular,Andover,19,Andover Elementary School,22130,3,30 - 35,10,23,30,37,67,33,2461
2016,sch,rea,Regular,Andover,19,Andover Elementary School,22130,4,25 - 30,11,39,36,14,50,50,2483
2016,sch,rea,Regular,Andover,19,Andover Elementary School,22130,5,20 - 25,22,30,30,17,48,52,2511
2016,sch,rea,Regular,Andover,19,Andover Elementary School,22130,6,30 - 35,<10,23,47,23,70,30,2573
2016,sch,rea,Regular,Andover,19,Andover Elementary School,22130,7,15 - 20,12,<10,47,35,82,18,2605
2016,sch,rea,Regular,Andover,19,Andover Elementary School,22130,8,15 - 20,<10,47,37,11,47,53,2582
2016,sch,sci,Regular,Andover,19,Andover Elementary School,22130,0,45 - 50,<10,48,46,<10,46,54,NULL
2016,sch,sci,Regular,Andover,19,Andover Elementary School,22130,4,25 - 30,<10,36,64,<10,64,36,NULL
2016,sch,sci,Regular,Andover,19,Andover Elementary School,22130,8,20 - 25,15,65,20,<10,20,80,NULL
2016,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,0,95 - 100,21,36,26,18,43,57,NULL
2016,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,3,15 - 20,<10,33,33,27,60,40,2450
2016,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,4,20 - 25,14,33,29,24,52,48,2482
