yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1text,plevel2text,plevel3text,plevel4text,pAboveProftext,pbelowProfText,AvgScore
2021,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,0,215 - 220,15,24,31,30,61,39,
2021,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,3,100 - 105,12,32,31,25,56,44,594
2021,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,4,115 - 120,18,17,31,34,65,35,616
2021,sch,mat,Regular,Andover,19,Andover Elementary School,22130,0,155 - 160,32,45,19,< 10 %,23,77,
2021,sch,mat,Regular,Andover,19,Andover Elementary School,22130,3,20 - 25,< 10 %,43,30,17,48,52,432
2021,sch,mat,Regular,Andover,19,Andover Elementary School,22130,4,20 - 25,19,29,48,< 10 %,52,48,458
2021,sch,mat,Regular,Andover,19,Andover Elementary School,22130,5,30 - 35,29,52,13,< 10 %,19,81,463
2021,sch,mat,Regular,Andover,19,Andover Elementary School,22130,6,20 - 25,50,45,< 10 %,< 10 %,< 10 %,> 90 %,474
2021,sch,mat,Regular,Andover,19,Andover Elementary School,22130,7,30 - 35,40,47,13,< 10 %,13,87,515
2021,sch,mat,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,39,48,13,< 10 %,13,87,538
2021,sch,rea,Regular,Andover,19,Andover Elementary School,22130,0,155 - 160,16,25,43,16,59,41,
2021,sch,rea,Regular,Andover,19,Andover Elementary School,22130,3,20 - 25,22,39,17,22,39,61,582
2021,sch,rea,Regular,Andover,19,Andover Elementary School,22130,4,20 - 25,19,19,29,33,62,38,616
2021,sch,rea,Regular,Andover,19,Andover Elementary School,22130,5,30 - 35,16,26,35,23,58,42,631
2021,sch,rea,Regular,Andover,19,Andover Elementary School,22130,6,20 - 25,14,36,50,< 10 %,50,50,637
2021,sch,rea,Regular,Andover,19,Andover Elementary School,22130,7,30 - 35,< 10 %,20,63,10,73,27,664
2021,sch,rea,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,19,13,55,13,68,32,666
2021,sch,sci,Regular,Andover,19,Andover Elementary School,22130,0,60 - 65,24,27,37,11,48,52,
2021,sch,sci,Regular,Andover,19,Andover Elementary School,22130,5,30 - 35,16,29,35,19,55,45,555
2021,sch,sci,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,32,26,39,< 10 %,42,58,849
2021,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,0,70 - 75,29,31,26,14,40,60,
2021,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,3, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,4,20 - 25,15,25,45,15,60,40,467
2021,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,5,10 - 15,50,14,21,14,36,64,471
2021,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,6,10 - 15,18,45,18,18,36,64,507
2021,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,7, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,8,10 - 15,18,36,27,18,45,55,584
2021,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,0,70 - 75,11,25,41,23,63,37,
2021,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,3, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,4,20 - 25,< 10 %,20,35,45,80,20,640
2021,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,5,10 - 15,14,21,43,21,64,36,632
2021,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,6,10 - 15,18,36,36,< 10 %,45,55,641
2021,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,7, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2021,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,8,10 - 15,< 10 %,18,55,18,73,27,682
2021,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,0,25 - 30,22,41,19,19,37,63,
2021,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,5,15 - 20,33,47,< 10 %,13,20,80,547
2021,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,8,10 - 15,< 10 %,33,33,25,58,42,860
2021,sch,mat,Regular,Auburn,29,Auburn Village School,20530,0,375 - 380,22,32,29,17,46,54,
2021,sch,mat,Regular,Auburn,29,Auburn Village School,20530,3,60 - 65,25,30,30,16,46,54,429
2021,sch,mat,Regular,Auburn,29,Auburn Village School,20530,4,65 - 70,17,25,38,20,58,42,460
2021,sch,mat,Regular,Auburn,29,Auburn Village School,20530,5,55 - 60,24,36,24,17,41,59,483
2021,sch,mat,Regular,Auburn,29,Auburn Village School,20530,6,65 - 70,23,38,28,12,39,61,503
2021,sch,mat,Regular,Auburn,29,Auburn Village School,20530,7,55 - 60,< 10 %,30,32,29,61,39,555
2021,sch,mat,Regular,Auburn,29,Auburn Village School,20530,8,60 - 65,35,33,22,10,32,68,561
2021,sch,rea,Regular,Auburn,29,Auburn Village School,20530,0,375 - 380,18,25,41,16,57,43,
